step_id,recipe_id,step_number,step_text
step_000001,recipe_001,1,Measure 1.5 cups basmati rice and place in a strainer.
step_000002,recipe_001,2,Rinse rice under running water until water is mostly clear.
step_000003,recipe_001,3,Let rice drain for 5 minutes.
step_000004,recipe_001,4,Chop onion and green chilies into small slices.
step_000005,recipe_001,5,Heat a pot on medium and add 2 tbsp ghee.
step_000006,recipe_001,6,Add sliced onion and chilies; sauté for 2 minutes.
step_000007,recipe_001,7,Add mixed vegetables and peas; cook for 3-4 minutes.
step_000008,recipe_001,8,Add drained rice and lightly stir for 1 minute.
step_000009,recipe_001,9,Pour 3 cups water into the pot and stir once.
step_000010,recipe_001,10,Add 1 tsp salt and combine gently.
step_000011,recipe_001,11,Bring mixture to a steady boil on high heat.
step_000012,recipe_001,12,"Reduce heat to low, cover, and cook for 12–15 minutes. Then rest 5 minutes and fluff."
step_000013,recipe_002,1,Wash rice and moong dal together until water runs clearer.
step_000014,recipe_002,2,Soak for 5 minutes then drain.
step_000015,recipe_002,3,Heat ghee in a pressure cooker on medium heat.
step_000016,recipe_002,4,Add cumin seeds; let them crackle for a few seconds.
step_000017,recipe_002,5,Add rice and dal; sauté for 1 minute.
step_000018,recipe_002,6,"Add turmeric, salt and 3 cups water."
step_000019,recipe_002,7,"Stir, close the lid and cook for 3 whistles on medium heat."
step_000020,recipe_002,8,Turn off heat and allow pressure to release naturally.
step_000021,recipe_002,9,"Open lid, stir gently to combine."
step_000022,recipe_002,10,Serve hot with a drizzle of ghee and pickle.
step_000023,recipe_003,1,Spread leftover rice on a plate to remove clumps.
step_000024,recipe_003,2,Heat oil in a pan and add mustard seeds until they pop.
step_000025,recipe_003,3,Add peanuts and roast until crisp.
step_000026,recipe_003,4,Add turmeric and mix quickly.
step_000027,recipe_003,5,Add rice to the pan and stir gently.
step_000028,recipe_003,6,"Add lemon juice and salt, mix evenly."
step_000029,recipe_003,7,Keep stirring for 1–2 minutes on low heat.
step_000030,recipe_003,8,Turn off heat and let it rest covered briefly.
step_000031,recipe_003,9,Garnish with coriander leaves if available.
step_000032,recipe_003,10,Serve warm or at room temperature.
step_000033,recipe_004,1,Make a soft dough with wheat flour and water; rest 10 minutes.
step_000034,recipe_004,2,Boil and peel potatoes; mash smoothly.
step_000035,recipe_004,3,"Mix mashed potatoes with salt, coriander and mild spices."
step_000036,recipe_004,4,Divide dough and stuffing into equal portions.
step_000037,recipe_004,5,"Roll a dough ball into a small circle, place stuffing, fold edges."
step_000038,recipe_004,6,Gently roll the stuffed ball into a paratha shape.
step_000039,recipe_004,7,Heat a tawa (griddle) and add a few drops of oil.
step_000040,recipe_004,8,Cook paratha on both sides until golden brown.
step_000041,recipe_004,9,Apply oil/ghee while cooking for crisp finish.
step_000042,recipe_004,10,Serve hot with curd or pickle.
step_000043,recipe_005,1,Rinse toor dal under cold water.
step_000044,recipe_005,2,Pressure cook dal with water until soft (3–4 whistles).
step_000045,recipe_005,3,Heat ghee in a pan and add cumin seeds.
step_000046,recipe_005,4,Add chopped garlic and sauté till light brown.
step_000047,recipe_005,5,Add chopped tomato and cook until soft.
step_000048,recipe_005,6,Pour cooked dal into the pan; mix well.
step_000049,recipe_005,7,Add salt and simmer for 5 minutes.
step_000050,recipe_005,8,"Prepare a tadka (ghee, cumin, garlic) and pour over dal."
step_000051,recipe_005,9,Stir and simmer for another minute.
step_000052,recipe_005,10,Serve hot with rice or roti.
step_000053,recipe_006,1,Crumble paneer and keep aside.
step_000054,recipe_006,2,Heat oil in a pan and add chopped onions.
step_000055,recipe_006,3,Sauté onions until translucent.
step_000056,recipe_006,4,Add chopped tomatoes and cook till soft.
step_000057,recipe_006,5,Add turmeric and salt; mix.
step_000058,recipe_006,6,Add crumbled paneer and stir for 2–3 minutes.
step_000059,recipe_006,7,Adjust seasoning and cook until paneer is warm.
step_000060,recipe_006,8,Garnish with coriander and serve hot.
step_000061,recipe_006,9,Serve with roti or bread.
step_000062,recipe_006,10,Store leftovers in fridge for up to 2 days.
step_000063,recipe_007,1,"Boil eggs, cool, peel and set aside."
step_000064,recipe_007,2,Heat oil and sauté chopped onions until golden.
step_000065,recipe_007,3,Add ginger-garlic paste; cook briefly.
